100,NEM12,200505231738,POWERMDP,NEMMCO
200,NEM1201007,E1E2,E1,E1,,01007,KWH,30,20050601
300,20050401,16,46,16,45,28,49,23,30,29,32,48,37,50,13,25,39,15,12,34,47,14,34,41,17,24,20,45,42,42,49,38,44,33,23,49,22,36,14,47,43,12,11,47,38,16,43,27,43,A,,,20050330145707,
300,20050402,21,31,20,37,46,13,33,10,14,13,14,21,19,20,14,41,22,25,49,40,45,35,35,42,11,31,15,48,41,43,40,39,36,43,16,32,28,47,40,25,24,22,32,33,23,49,49,13,A,,,20050330145707,
300,20050403,40,44,16,26,26,30,33,15,27,19,24,20,43,39,44,11,14,30,18,19,46,19,46,44,21,35,22,11,46,29,38,15,39,42,33,18,39,29,46,31,11,46,48,35,18,14,19,22,A,,,20050518110155,
300,20050404,48,10,26,27,47,16,49,49,43,19,41,39,18,22,18,48,28,11,40,22,34,19,34,34,23,32,22,33,25,35,36,17,14,18,46,41,23,37,24,10,22,50,44,29,19,29,46,11,A,,,20050518110155,
200,NEM1201007,E1E2,E2,E2,,01007,KWH,30,20050601
300,20050401,21,26,17,17,27,29,40,31,29,17,14,18,30,21,36,22,19,21,27,13,50,49,29,32,41,22,39,26,31,18,41,19,39,13,14,37,19,15,35,26,24,17,25,37,18,40,25,39,A,,,20050330145707,
300,20050402,33,14,18,43,28,28,28,22,30,17,45,29,43,43,24,10,34,36,41,31,49,50,29,23,14,21,48,21,29,42,41,47,30,15,43,45,24,32,42,31,12,45,42,42,39,29,23,28,A,,,20050330145707,
300,20050403,48,49,37,12,39,40,14,39,13,44,46,29,38,40,11,39,19,28,17,40,50,44,19,19,12,31,48,14,33,41,49,42,25,47,10,31,44,39,20,12,45,21,14,26,21,44,16,17,A,,,20050518110155,
300,20050404,36,19,43,12,27,32,16,19,37,44,27,20,19,28,13,17,15,12,36,35,29,14,22,31,32,37,25,11,13,27,32,31,41,44,44,17,24,42,20,29,25,23,19,15,39,32,46,20,A,,,20050518110155,
900
