100,NEM12,200505121112,CNRGYMDP,NEMMCO
200,NEM1203042,E1Q1,E1,E1,N1,03042,KWH,30,
300,20040410,20.400,20.700,20.700,20.850,20.100,20.550,21.150,19.800,19.950,20.100,19.800,19.350,17.100,14.250,14.400,14.550,14.400,15.150,15.450,15.450,15.750,15.450,16.800,16.050,16.350,15.750,16.500,16.200,16.350,15.900,16.050,15.900,15.750,16.350,15.900,18.300,20.550,20.700,20.550,20.550,20.550,20.700,19.950,20.700,20.550,20.400,20.250,20.100,V,,,20040411031224,
400,1,6,A,,
400,7,7,A,89,
400,8,48,A,,
200,NEM1203042,E1Q1,Q1,Q1,,03042,KVARH,30,
300,20040410,13.050,13.050,10.500,12.600,13.500,13.350,12.750,13.950,13.500,12.600,13.200,12.900,15.000,16.800,17.100,16.800,16.650,16.500,15.900,15.750,15.600,15.450,15.600,15.750,15.450,15.750,15.450,15.750,15.600,16.200,15.750,16.350,16.500,16.200,15.900,13.650,13.200,13.500,13.800,13.350,13.650,13.800,13.800,13.500,13.050,12.150,12.600,12.750,V,,,20040411031224,
400,1,6,A,,
400,7,7,A,89,
400,8,48,A,,
200,NEM1203042,E1Q1,E1,E1,N1,03042,KWH,30,
300,20040411,20.250,20.550,20.100,20.250,20.700,20.100,20.550,19.800,19.950,20.400,19.950,19.650,16.500,14.700,14.400,14.250,14.250,14.550,14.850,15.600,15.150,15.600,15.900,15.750,16.050,16.050,16.200,16.200,16.050,16.350,16.350,16.050,15.450,16.050,16.500,18.300,21.150,21.000,21.000,20.250,20.850,20.250,20.100,20.100,20.100,20.400,20.550,20.250,V,,,20040412105251,
400,1,6,A,,
400,7,7,A,89,
400,8,48,A,,
200,NEM1203042,E1Q1,Q1,Q1,,03042,KVARH,30,
300,20040411,12.450,12.750,11.850,13.050,12.900,13.050,11.850,13.350,13.500,13.650,13.050,12.900,15.150,17.250,17.250,17.250,17.250,17.100,16.050,16.200,15.900,16.050,15.450,15.750,15.750,16.050,15.600,16.200,16.050,15.600,15.900,16.200,16.200,16.050,15.750,13.500,13.050,13.200,11.400,13.050,12.450,12.750,12.600,13.050,12.600,12.300,13.200,13.500,V,,,20040412105251,
400,1,6,A,,
400,7,7,A,89,
400,8,48,A,,
200,NEM1203042,E1Q1,E1,E1,N1,03042,KWH,30,
300,20040412,20.850,20.100,20.400,20.100,20.850,20.250,20.100,20.400,21.000,19.950,19.950,19.350,16.800,14.400,14.700,14.400,14.550,15.000,15.450,15.000,15.150,15.300,15.900,16.200,16.800,16.800,16.650,16.950,16.650,16.950,17.100,16.500,17.100,15.750,16.800,19.800,21.900,21.150,20.850,22.050,20.700,20.550,20.550,20.400,20.400,20.250,20.100,20.700,V,,,20040413031448,
400,1,14,A,,
400,15,15,A,89,
400,16,48,A,,
200,NEM1203042,E1Q1,Q1,Q1,,03042,KVARH,30,
300,20040412,12.900,13.950,13.200,13.350,12.750,12.900,13.350,13.950,13.950,13.650,13.050,13.350,14.400,16.500,17.100,16.950,16.350,15.600,15.000,14.700,15.450,15.900,15.750,15.750,15.600,15.600,16.800,16.950,16.050,16.500,16.200,16.500,16.350,16.350,15.900,13.350,12.600,13.950,15.000,12.450,14.700,14.550,13.950,14.250,13.800,13.350,13.800,13.650,V,,,20040413031448,
400,1,14,A,,
400,15,15,A,89,
400,16,48,A,,
200,NEM1203042,E1Q1,E1,E1,N1,03042,KWH,30,
300,20040413,20.100,20.100,20.250,20.550,20.400,20.100,20.550,20.400,20.700,20.850,20.250,21.600,44.100,60.450,60.750,58.350,59.550,61.050,59.700,58.800,58.500,62.400,58.500,60.900,62.700,61.500,63.150,60.750,59.700,59.400,57.450,54.750,54.300,53.250,29.400,23.400,24.000,24.150,24.150,23.850,24.000,23.700,24.000,23.850,23.250,24.300,24.150,24.750,V,,,20040414030757,
400,1,6,A,,
400,7,7,A,89,
400,8,48,A,,
200,NEM1203042,E1Q1,Q1,Q1,,03042,KVARH,30,
300,20040413,13.350,13.050,12.450,12.750,13.500,13.500,11.700,13.350,11.700,10.950,11.550,6.900,16.800,30.150,29.850,27.450,28.050,27.150,27.600,28.800,28.200,28.500,28.800,30.450,32.400,30.000,30.900,31.050,31.800,35.400,36.750,27.300,28.350,27.600,9.150,3.450,2.700,3.150,2.700,5.100,4.050,4.800,3.750,3.300,5.400,2.850,4.200,1.800,V,,,20040414030757,
400,1,6,A,,
400,7,7,A,89,
400,8,48,A,,
900
