100,NEM12,200506081149,UNITEDDP,NEMMCO
200,NEM1209169,E1,1,E1,N1,09169,kWh,30,20050601
300,20050305,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.434,0.460,0.770,0.993,0.959,1.225,0.967,0.890,1.123,1.423,1.200,0.980,0.800,1.403,1.145,1.065,1.187,0.900,0.998,0.768,1.432,1.211,0.873,0.786,1.504,0.719,0.817,0.780,0.709,0.700,0.565,0.655,0.704,0.460,0.430,0.330,A,,,20050308101114,20050308182516
300,20050306,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.235,0.567,0.890,1.123,1.345,1.567,1.543,1.234,0.987,1.123,0.876,1.345,1.145,1.173,1.265,0.987,0.678,0.998,0.768,0.954,0.876,0.845,0.932,0.786,0.999,0.879,0.777,0.578,0.709,0.772,0.625,0.535,0.543,0.425,0.480,0.432,A,,,20050308101114,20050308182516
300,20050307,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.335,0.667,0.790,1.023,1.145,1.777,1.563,1.344,1.087,1.453,0.996,1.125,1.435,1.263,1.085,1.408,1.270,0.768,0.786,0.900,0.870,0.878,0.750,0.476,1.045,1.132,0.890,0.879,0.679,0.887,0.784,0.712,0.599,0.593,0.674,0.232,A,,,20050308101114,20050308182516
300,20050308,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.461,0.415,0.778,0.940,1.191,1.345,1.390,1.222,1.134,1.207,0.877,1.655,1.099,1.625,1.010,0.950,1.255,0.635,0.956,0.880,0.660,0.810,0.878,0.778,0.643,0.838,0.812,0.490,0.598,0.811,0.572,0.417,0.707,0.670,0.290,0.355,V,,,20050308101114,20050308182516
400,1,20,A,,
400,21,48,E52,,
500,N,S09169,20050308101114,
300,20050309,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.221,0.415,0.778,0.940,1.191,1.345,1.390,1.222,1.134,1.207,0.877,1.655,1.099,1.625,1.010,0.950,1.255,0.635,0.956,0.880,0.660,0.810,0.643,0.578,0.709,0.838,0.812,0.490,0.707,0.670,0.598,0.811,0.572,0.290,0.355,0.417,E52,,,20050308000001,
300,20050310,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.235,0.878,1.008,1.112,0.890,1.123,1.345,1.567,1.543,1.234,0.987,1.123,0.876,1.345,1.145,1.173,1.265,0.987,0.678,0.998,0.768,0.954,0.876,0.845,0.932,0.786,0.889,0.879,0.777,0.772,0.625,0.653,0.543,0.599,0.380,0.289,E52,,,20050308000001,
300,20050311,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.335,0.455,0.680,0.770,1.275,1.087,1.453,0.996,1.125,0.790,1.023,1.265,0.987,1.297,0.768,1.125,1.435,1.010,0.950,0.900,1.200,0.776,0.878,0.870,0.945,0.750,0.790,1.023,0.945,0.770,0.640,0.550,0.425,0.480,0.435,0.290,E52,,,20050308000001,
900
